Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.5964912280701754,0.6990654205607477,0.6437177280550774,1070.0
displaced_people_and_evacuations,0.7680084745762712,0.9177215189873418,0.8362168396770473,790.0
infrastructure_and_utility_damage,0.7639459776864357,0.8045763760049475,0.7837349397590362,1617.0
injured_or_dead_people,0.8900732844770153,0.9232895646164478,0.9063772048846676,1447.0
missing_or_found_people,0.5398230088495575,0.8472222222222222,0.6594594594594595,72.0
not_humanitarian,0.5334805003679176,0.5823293172690763,0.5568356374807988,1245.0
other_relevant_information,0.5791978246091094,0.353967594515995,0.4394017534811759,2407.0
requests_or_urgent_needs,0.3172302737520129,0.7562380038387716,0.446965399886557,521.0
rescue_volunteering_or_donation_effort,0.8461735346813412,0.7835980090068737,0.8136844696037411,4219.0
sympathy_and_support,0.8313325330132053,0.7816027088036117,0.8057009889470622,1772.0
