Model,Cell Type,Layers,Val Best Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Macro Precision,Test Macro Recall
GloVe + BiLSTM,BILSTM,1,0.7043832618628658,0.7296833773087071,0.704408495430769,0.7282554281306732,0.6804105803681585,0.7428345836527466
GloVe + 2-Stacked BiLSTM,BILSTM,2,0.6992421213617261,0.7245382585751979,0.6997438220034654,0.7201634949141664,0.6787861403064103,0.7329001243607346
GloVe + BiRNN,BIRNN,1,0.6973273322418778,0.712401055408971,0.689963485241651,0.7094860636431899,0.6636900268372272,0.7396683588697368
