Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6291883842144452,0.7897196261682243,0.7003729796933278,1070.0
displaced_people_and_evacuations,0.8303370786516854,0.9354430379746835,0.8797619047619047,790.0
infrastructure_and_utility_damage,0.7797281993204983,0.8515769944341373,0.8140703517587939,1617.0
injured_or_dead_people,0.9083056478405316,0.944713199723566,0.9261517615176151,1447.0
missing_or_found_people,0.7058823529411765,0.8333333333333334,0.7643312101910829,72.0
not_humanitarian,0.6155015197568389,0.6506024096385542,0.6325654041390082,1245.0
other_relevant_information,0.6384615384615384,0.4482758620689655,0.5267268733219429,2407.0
requests_or_urgent_needs,0.4954128440366973,0.72552783109405,0.5887850467289719,521.0
rescue_volunteering_or_donation_effort,0.8868585732165206,0.839772457928419,0.8626734842951059,4219.0
sympathy_and_support,0.8251245157719977,0.8414221218961625,0.8331936295054484,1772.0
