Seq_Len,Hidden_Dim,Val_Macro_F1,Time_Sec
32,64,0.7056,29.7
32,128,0.7145,31.6
32,256,0.7192,34.5
48,64,0.7165,30.0
48,128,0.731,35.1
48,256,0.7249,53.1
64,64,0.7114,31.0
64,128,0.722,38.7
64,256,0.7236,51.1
