Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6173986486486487,0.6831775700934579,0.6486246672582077,1070.0
displaced_people_and_evacuations,0.8222996515679443,0.8962025316455696,0.8576620230163537,790.0
infrastructure_and_utility_damage,0.7711617046117922,0.8169449598021027,0.7933933933933934,1617.0
injured_or_dead_people,0.8904382470119522,0.926744989633725,0.9082289197426346,1447.0
missing_or_found_people,0.6020408163265306,0.8194444444444444,0.6941176470588235,72.0
not_humanitarian,0.5155826558265583,0.6112449799196787,0.5593531789783168,1245.0
other_relevant_information,0.547061882475299,0.43705857914416285,0.4859122401847575,2407.0
requests_or_urgent_needs,0.399540757749713,0.6679462571976967,0.5,521.0
rescue_volunteering_or_donation_effort,0.8633227176220807,0.7710357904716757,0.8145736822336297,4219.0
sympathy_and_support,0.8011363636363636,0.7957110609480813,0.79841449603624,1772.0
