Seq_Len,Hidden_Dim,Val_Macro_F1,Time_Sec
32,64,0.7085,48.3
32,128,0.6931,48.4
32,256,0.7032,41.7
48,64,0.7076,58.1
48,128,0.6969,39.0
48,256,0.6962,66.3
64,64,0.7095,48.9
64,128,0.6979,49.7
64,256,0.6959,70.2
