Seq_Len,Hidden_Dim,Val_Macro_F1,Time_Sec
32,64,0.703,24.4
32,128,0.7147,28.8
32,256,0.7279,40.2
48,64,0.7088,30.7
48,128,0.7241,40.8
48,256,0.7362,51.3
64,64,0.7121,31.7
64,128,0.7198,36.7
64,256,0.7324,62.7
