Seq_Len,Hidden_Dim,Val_Macro_F1,Time_Sec
32,64,0.7111,28.6
32,128,0.7059,22.9
32,256,0.7038,32.7
48,64,0.7093,28.8
48,128,0.7109,35.2
48,256,0.7071,43.7
64,64,0.7105,29.3
64,128,0.711,24.3
64,256,0.7,47.9
