Class,Precision,Recall,F1-Score,Support
caution_and_advice,0.6577114427860696,0.6177570093457944,0.6371084337349397,1070.0
displaced_people_and_evacuations,0.79082774049217,0.8949367088607595,0.8396674584323041,790.0
infrastructure_and_utility_damage,0.7634782608695653,0.8144712430426716,0.7881508078994613,1617.0
injured_or_dead_people,0.8914057295136576,0.9246717346233587,0.9077340569877883,1447.0
missing_or_found_people,0.6555555555555556,0.8194444444444444,0.7283950617283951,72.0
not_humanitarian,0.4891908585546634,0.636144578313253,0.553072625698324,1245.0
other_relevant_information,0.5693215339233039,0.40091400083090983,0.4705021940516821,2407.0
requests_or_urgent_needs,0.43375,0.6660268714011516,0.5253595760787282,521.0
rescue_volunteering_or_donation_effort,0.8459837877671333,0.8163071817966343,0.8308805790108564,4219.0
sympathy_and_support,0.8017045454545455,0.79627539503386,0.7989807474518686,1772.0
