Model,Cell Type,Layers,Val Best Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Macro Precision,Test Macro Recall
FastText + 2-Stacked BiLSTM,BILSTM,2,0.698782764806736,0.7245382585751979,0.7060280247902357,0.7253723317278867,0.6829983445476883,0.7425511163300594
FastText + BiLSTM,BILSTM,1,0.7045799288324599,0.7175461741424802,0.7023754646339182,0.719559225165442,0.6806697028447235,0.7470519142479672
FastText + BiRNN,BIRNN,1,0.6897799831749198,0.712335092348285,0.6930668910839167,0.7131212674494464,0.6675581962723883,0.7365180968458566
