Seq_Len,Hidden_Dim,Val_Macro_F1,Time_Sec
32,64,0.703,40.3
32,128,0.7153,43.1
32,256,0.7129,53.3
48,64,0.7145,40.4
48,128,0.7164,46.5
48,256,0.7167,63.6
64,64,0.7125,50.9
64,128,0.7118,49.9
64,256,0.7183,73.0
