Model,Cell Type,Layers,Val Best Macro F1,Test Accuracy,Test Macro F1,Test Weighted F1,Test Macro Precision,Test Macro Recall
Word2Vec + LSTM,LSTM,1,0.7061255349601273,0.7282981530343008,0.7079851541074348,0.7256915820634864,0.6898929454916665,0.7386949167692838
Word2Vec + BiLSTM,BILSTM,1,0.7016902691489199,0.720712401055409,0.7036743430825123,0.7235947416036159,0.6851304343108228,0.7306989816082909
Word2Vec + BiRNN,BIRNN,1,0.6961077355788542,0.7273087071240105,0.6994603992062854,0.7249969020955819,0.6777130538680177,0.7337468355988711
Word2Vec + 2-Stacked BiRNN,BIRNN,2,0.6929676613182683,0.7236147757255936,0.6984612275124141,0.7234120855141773,0.6838631662246702,0.7198514071769668
Word2Vec + Simple RNN,RNN,1,0.6964164406566078,0.720712401055409,0.6979128078929768,0.7176960053950427,0.6778751423359969,0.7306006314269766
Word2Vec + 2-Stacked BiLSTM,BILSTM,2,0.6943543515640448,0.7145778364116095,0.6892094421234622,0.7137271674676395,0.666575664008304,0.7449610735826036
