Seq_Len,Hidden_Dim,Val_Macro_F1,Time_Sec
32,64,0.7139,17.9
32,128,0.7164,14.5
32,256,0.7191,22.7
48,64,0.7125,17.9
48,128,0.721,21.5
48,256,0.7208,26.0
64,64,0.7177,18.6
64,128,0.7256,22.5
64,256,0.7288,29.1
