Config,Learning_Rate,Max_Len,Val_Macro_F1,Val_Accuracy,Time_Sec
lr_3e-5_L48,3e-05,48,0.7607,0.7788,406.4
lr_5e-5_L48,5e-05,48,0.7604,0.7776,405.4
lr_2e-5_L48,2e-05,48,0.7589,0.778,406.2
lr_2e-5_L64,2e-05,64,0.7563,0.7784,486.9
lr_1e-5_L48,1e-05,48,0.7517,0.7738,409.0
